corpus,chunk_id,region,value,position_in_text,occurrences_in_corpus,context
classical_lexicon,asas_albalagha_c0034,classical,المثقب العبدي,162,1,اليراع المثقب وثقبن البراقع لعيونهن قال المثقب العبدي: وبه سمي المثقب. وثقب الحلم ا
classical_lexicon,asas_albalagha_c0039,classical,المعترض الظفري,1960,1,تعار للمهر والغزال ويشتق منه للصبي. قال المعترض الظفري: قلنا مخلداً وابني حراق وآخر
classical_lexicon,asas_albalagha_c0040,classical,مسكين الدارمي,3202,1,ذلك جديتا الرحل والجمع جديٌ وجديات. قال مسكين الدارمي: ما مس رحلي العنكبوت ولا جديا
classical_lexicon,asas_albalagha_c0042,classical,حاكم المدينة,371,1,جرحة وهي ما تجرح به الشهادة. وكان يقول حاكم المدينة للخصم إذا أراد أن يوجه عليه ا
classical_lexicon,asas_albalagha_c0043,classical,البيت,1508,1,أي أفلتك ولم يكد فجرضت عليه ريقك وأنشد البيت فجعله فعيلاً بمعنى مفعول مجرو
classical_lexicon,asas_albalagha_c0047,classical,العجير,771,1,ائف وأصابتهم جليفة عظيمة وهي السنة. قال العجير: وإذا تعرقت الجلائف ماله خلطت
classical_lexicon,asas_albalagha_c0048,classical,يصف السراب,3334,1,واستجمع السيل. واستجمع الفرس جرياً. قال يصف السراب: ومستجمع جرباً وليس ببارحٍ تب
classical_lexicon,asas_albalagha_c0050,classical,الله,1553,2,"ي خلقه جنف. وتجانف لكذا وتجانف عنه. قال الله تعالى: "" غير متجانف لإثم "" وق"
classical_lexicon,asas_albalagha_c0050,classical,الحكم الخضري,2139,1,ون الصيق الصيقة الغبار. وبقل مجنون. قال الحكم الخضري: كوماً تظاهرنيها وتربعت بقلاً
classical_lexicon,asas_albalagha_c0051,classical,المخبل السعدي,2361,1,جه جهم: غليظ كثير اللحم ضيق الخلقة. قال المخبل السعدي: وتريك وجهاً كالصحيفة لا ظمآن
classical_lexicon,asas_albalagha_c0054,classical,المازني,313,1,فرت وبأسنانه حبرة وحبر بوزن بيلز. وأنشد المازني: ولست بسعديّ على فيه حبرة ولس
classical_lexicon,asas_albalagha_c0054,classical,الزمخشري,2930,1,وا حبى زرود وهما رملتان مستطيلتان. أنشد الزمخشري بنفسه قال أنشدتهما بزرود: زرو
classical_lexicon,asas_albalagha_c0060,classical,الرجل,2870,2,ن الحجازيين وغيرهم يتكلم به كل أحد يقول الرجل لصاحبه: يا حارس وما أنت إلا ح
classical_lexicon,asas_albalagha_c0060,classical,يصف البرق,4043,1,حرض. وصبغ ثوبه بالإحريض وهو العصفر. قال يصف البرق: ملتهب كلهب الإحريض يزجي خراط
classical_lexicon,asas_albalagha_c0061,classical,يصف الغراب,1529,1,يحترق فيسقط. قال أبو كبير الهذلي: وقال يصف الغراب: حرق الجناح كأن لحيي رأسه جلم
classical_lexicon,asas_albalagha_c0061,classical,المرار الفقعسيّ,4080,1,وفلان يحازب فلاناً: ينصره ويعاضده. قال المرار الفقعسيّ: ولو قد بلغنا منتهى الحق بينن
classical_lexicon,asas_albalagha_c0065,classical,الحصون,1329,1,ذهب فاشتر به خيلاً فقال الرجل: إنما قال الحصون. قال: أما سمعت قول الأسعر الج
classical_lexicon,asas_albalagha_c0065,classical,الجليح,3917,1,ء حواطب. وفلان يحطب رفقاءه ويسقيهم. قال الجليح: خبّ جزوع وإذا جاع بكى لا حطب
classical_lexicon,asas_albalagha_c0069,classical,العثماني,920,1,وهو ما لا يسمع له صوت كالذر ونحوه. قال العثماني: ويفهم قول الحكل لو أن ذرة تس
classical_lexicon,asas_albalagha_c0071,classical,القرزدق,3240,1,ثم كثر حتى استعمل في إشباع الوقود. قال القرزدق: وقدر كحيزوم النعامة أحمشت بأ
classical_lexicon,asas_albalagha_c0073,classical,الأنساع,2812,2,مراً. قال لبيد: وقال أبو النجم: قد قالت الأنساع للبطن الحقي قدماً فآضت كالفني
classical_lexicon,asas_albalagha_c0074,classical,حبيب الأعلم,114,1,ناقة ولا شاة. وهذه حنتي أي امرأتي. قال حبيب الأعلم: يدمي وجه حنته إذا ما تقول له
classical_lexicon,asas_albalagha_c0078,classical,السموأل الوفيّ,1733,1,من غدر إلا مددنا لك باعاً من ختر. وقال السموأل الوفيّ للحارث بن ظالم حين قال له: إن
classical_lexicon,asas_albalagha_c0084,classical,يصف النساء,85,1,من شعر وهي الخزامة والجمع الخزائم. قال يصف النساء: ألا لا تبالي العيسُ من شد كو
classical_lexicon,asas_albalagha_c0086,classical,مقاس العائذي,462,1,ي ركبوا الإبل وجنبوا الخيل وراءهم. وقال مقاس العائذي: أولى فأولى بامريء القيس بعدم
classical_lexicon,asas_albalagha_c0087,classical,الرياشيّ,810,1,المجاز: قولهم للرجل: قد خضف بها. وأنشد الرياشيّ: إنا وجدنا خلفاً بئس الخلف أغ
classical_lexicon,asas_albalagha_c0087,classical,مرداس الدبيري,1212,1,: ناعم. ويومنا يوم خضلة وهي النعيم. قال مرداس الدبيري: إذا قلت هذا اليوم يوم خضلة و
classical_lexicon,asas_albalagha_c0090,classical,الذبياني,2401,2,ليه قباء أزرق خالص البطانة: أبيضها. قال الذبياني: يصونون أجساماً قديماً نعيمها
classical_lexicon,asas_albalagha_c0095,classical,الركاض الدبيري,851,2,إذا قرن بينهما. تقول: خطّ هذا بذاك. قال الركاض الدبيري: بليد لم يخط حرفاً بعنس ولكن
classical_lexicon,asas_albalagha_c0095,classical,الذبياني,1028,2,تفع وأافوا وأخيفوا: نزلوا بخيف مني. قال الذبياني: من صوت حرميّة قالت لجارتها ه
classical_lexicon,asas_albalagha_c0095,classical,الطرماعح,1453,1,: وخايله: فاخره. وتخايلوا: تفاخروا. قال الطرماعح: إذا ذهب التخايل والتّباهي لق
classical_lexicon,asas_albalagha_c0102,classical,الدلح الرواء,2881,1,ودوالح. قال: بينما نحن مرتعون بفلج قالت الدلح الرواء إنيه والسحابة تدلح من كثرة ما
classical_lexicon,asas_albalagha_c0105,classical,بقدم الدهر,1609,1,ت شيخاً دهرياً دهرياً: مسنا ملحداً يقول بقدم الدهر. ودهرهم أمر: أصابهم به الدهر.
classical_lexicon,asas_albalagha_c0107,classical,لعبد المطّلب,1140,1,حشدت معدّ وكان الناس إلا نحن دينا أنشد لعبد المطّلب: إنا أنسا لا ندين بأرضنا عض ا
classical_lexicon,asas_albalagha_c0111,classical,المسيّب,1350,2,فلان بما أذم أي بما أعطى من الذمّة. قال المسيّب: أنت الوفيّ بما تذم وبعضهم تو
classical_lexicon,asas_albalagha_c0115,classical,كعب الغنويّ,2232,2,م: كان لهم ربيئة أي عيناً يرقب لهم. قال كعب الغنويّ: كأن أبا المغوار لم يوف مرقبا
classical_lexicon,asas_albalagha_c0116,classical,الركّاض,1557,1,اهية ربداء: منكرة. وعام أربد: مقحط. قال الركّاض: إني إذا ما كان عام أربد وابت
classical_lexicon,asas_albalagha_c0128,classical,لبابة الأسدية,1533,1,ه أن يرضع شاته لئلا يسمع صوت حلبه. قالت لبابة الأسدية: هجمة رضاع لئيم المنزدق لا يط
classical_lexicon,asas_albalagha_c0128,classical,المستوغر,2054,1,ف: أوغر بالرضف وهو الحجارة المحماة. قال المستوغر: ينش الماء في الربلات منها نش
classical_lexicon,asas_albalagha_c0132,classical,الطائي,2978,1,مجاز: رفرف على ولده إذا تحنّى عليه. قال الطائي: ورحمة رفرفت منه على الرحم وم
classical_lexicon,asas_albalagha_c0136,classical,البريق الهذليّ,3265,2,الفرس. وركض النار بالمركض: بالمسعر. قال البريق الهذليّ: فأنت الذي يتّقى شره كما تتقى
classical_lexicon,asas_albalagha_c0142,classical,الأسدّي,1664,1,ى فلان وعليه من النهار رياح وأرواح. قال الأسدّي: ولقد رأيتك بالقوادم نظرة وعل
classical_lexicon,asas_albalagha_c0147,classical,الحماسي,3497,1,مبتوتة وزرابي البغضاء دونهم مبثوثة. قال الحماسي: ونحن بنو عم على ذاك بيننا زر
classical_lexicon,asas_albalagha_c0152,classical,الفراء,1896,1,زناؤه ومن يشرب الخرطوم يصبح مسكراً قال الفراء: المقصور من زنى والممدود من ز
classical_lexicon,asas_albalagha_c0157,classical,الحويدرة,1755,1,وإنه لأسجر وقطرة سجراء. وعين سجراء. قال الحويدرة: بغريض سارية أدرّته الصّبا من
classical_lexicon,asas_albalagha_c0157,classical,الحنان الهذلي,2027,1,زلت أبكي سجيس الدهر ما طلع النجوم وقال الحنان الهذلي: سجيس الدهر ما سجعت هتوف على
classical_lexicon,asas_albalagha_c0163,classical,الأسعر الجعفي,1685,1,ر الحرب. وسعر على قومه وسعرهم شراً. قال الأسعر الجعفي: فلا يدعني الأقوام من آل مالك
classical_lexicon,asas_albalagha_c0174,classical,طفيل الغنويّ,1436,1,اله السواف بالفتح والضم وهو الفناء. قال طفيل الغنويّ: فأبل واسترخى به الخطب بعدما
classical_lexicon,asas_albalagha_c0175,classical,الرا,893,1,وّى بينهما وساويت هذا بهذا وسوّيته. قال الرا عي: يجرد عليهن الأجلة سويت بض
classical_lexicon,asas_albalagha_c0176,classical,الشاخ,1628,1,الزهرة والمشتري لحسنهما وإشراقهما. وقال الشاخ: وشب له كذا وأشب: رفع وأتيح.
classical_lexicon,asas_albalagha_c0176,classical,مليح الهذليّ,1791,1,في شباب النهار وقدم في شباب الشهر. وقال مليح الهذليّ يصف ظعائن: مكثن على حاجاتهن و
classical_lexicon,asas_albalagha_c0181,classical,السمهري العكليّ,358,1,م. ومن المجاز: مضوا على شراك واضح. وقال السمهري العكليّ: طواها اعتقال الرجل في مدلهمة
classical_lexicon,asas_albalagha_c0182,classical,عبلة العبسية,298,1,دها وفي خلقه شظف. وأنه لشظف الخلق. قالت عبلة العبسية: لقد منيت ببعل غير ذي شظف جل
classical_lexicon,asas_albalagha_c0182,classical,الشعر,2998,1,خاصة. وقد أشعر إذا قتل. وشعر فلان: قال الشعر يقال: لو شعر بنقصه لما شعر. و
classical_lexicon,asas_albalagha_c0184,classical,لحامل الجوالق,1553,1,وه: مال في أحد شقيه. وسمعت بمكة من يقول لحامل الجوالق: استشق به أي حرفه على أحد شقي
classical_lexicon,asas_albalagha_c0185,classical,الركاض الدبيري,105,2,لشكوك وشك عليّ الأمر إذا شككت فيه. وقال الركاض الدبيري: يشك عليك الأمر مادام مقبلاً
classical_lexicon,asas_albalagha_c0189,classical,الخليط,1921,1,ولد بعده. وآتيك غداً أو شيعه. قال: قال الخليط غداً تصدعنا أو شيعه أفلا تشيع
classical_lexicon,asas_albalagha_c0191,classical,الله,263,2,"ته. وصبغ يده بالعمل وبفن من العلم. وقال الله تعالى "" صبغة الله ومن أحسن من"
classical_lexicon,asas_albalagha_c0192,classical,الراجز,3915,2,بكذا. وجاء فرس فلان مصدراً: سابقاً. قال الراجز: مصدر لا وسط ولا تالي
classical_lexicon,asas_albalagha_c0193,classical,عبد الملك,2728,1,تقول: ضربة وأعطاه رزق شهرين صدمة. وقال عبد الملك للحجاج: إني استعملتك على العر
classical_lexicon,asas_albalagha_c0194,classical,الصلتان,348,1,ة يصرد فهو صارد وصرد صرداً فهو صرد. قال الصلتان: فما بقيا عليّ تركتماني ولكن
classical_lexicon,asas_albalagha_c0195,classical,الأحنف,1239,1,مته صعد وهي القناة النابتة مستقيمة. قال الأحنف: إن على كل رئيس حقاً أن يخضب
classical_lexicon,asas_albalagha_c0200,classical,الطحيئة,212,1,فلان صنيعتك ومصطنعك واصطنعتك لنفسي. قال الطحيئة: فإن يصطنعني الله لا أصطنعكم
classical_lexicon,asas_albalagha_c0200,classical,ليلى الأخيلية,1622,2,ن صنوان: متقاربتان وتصغيره: صنيٌّ. قالت ليلى الأخيلية: أي ركياً مجهولاً بين جبلين.
classical_lexicon,asas_albalagha_c0203,classical,سابق البربري,2863,1,ه ضب: غل داخل كالضب الممعن في حجره. قال سابق البربري: ولا تك ذا وجهين يبدي بشاشة و
classical_lexicon,asas_albalagha_c0205,classical,زيد الخيل,933,2,"ي مثل "" ضحِّ يويداً وعشِّ رويداً "". قال زيد الخيل: فلو أن نضراً أصلحت ذات بينها"
classical_lexicon,asas_albalagha_c0209,classical,العباس,808,1,ضياؤها وأضواؤها وأضاءت الشمس وضاءت. قال العباس رضي الله تعالى عنه في النبي ﷺ
classical_lexicon,asas_albalagha_c0216,classical,المرار,1950,2,يا وأتيته والليل طفل: وذلك في أوله: قال المرار: أجدك لم ترى بثعيلبات ولا بيد
classical_lexicon,asas_albalagha_c0217,classical,المرار,495,2,واقع فوق العلامة وهو يعدل بالمقرطس. قال المرار: لها أسهم لا قاصرات عن الحشا
classical_lexicon,asas_albalagha_c0219,classical,الجاحظ الحمام,4106,1,وعنده الطاوس أي الفضة بلسان اليمن. وقال الجاحظ الحمام يكسح بذنبه حول الحمامة ويتطوس
classical_lexicon,asas_albalagha_c0221,classical,العماني,943,1,شالت نعامتهم. واستخفته طيرة الغضب. قال العماني: وأحلم عن طيراته كلّ ساعة إذا
classical_lexicon,asas_albalagha_c0230,classical,مزاحم العقيلي,136,2,ً متنكراً ثم استعرفت أي عرّفت نفسي. قال مزاحم العقيلي: فاستعرفا ثم قولا إنّ ذا رحم
classical_lexicon,asas_albalagha_c0231,classical,المخبّل السعديّ,165,2,راءً. وتقول: رأيت عرياً تحت عريانٍ. قال المخبّل السعديّ: وساقطة كور الخمار حييّة على
classical_lexicon,asas_albalagha_c0233,classical,كأنّ السحاب,2595,1,بّهه بسدا الأرجوان غير فارق بين أن يقول كأنّ السحاب الأحمر سدا أرجوان وبين ما قال
classical_lexicon,asas_albalagha_c0235,classical,جندل الراجز,2545,1,والانتجاب: انتزاع النجب وهو اللحاء. قال جندل الراجز: يا أيها الزاعم أني أجتلب وأن
classical_lexicon,asas_albalagha_c0235,classical,عليه السلام,2641,1,"تجب كذبت إنّ شرّ ما قيل الكذب عضي: قال عليه السلام "" لا تعضية على أهل الميراث """
classical_lexicon,asas_albalagha_c0240,classical,المبرد,3420,2,قال للألدّ: إنه لذو معلاق وذو مغلاق قال المبرد: من رواه بالعين فمعناه إذا عل
classical_lexicon,asas_albalagha_c0242,classical,الباهلي,1962,1,معمر صدق أي في مسكن مرضيّ معمور. وأنشد الباهلي: عجبت لذي سنّين في الماء نبته
classical_lexicon,asas_albalagha_c0243,classical,الرجل,935,2,ده اعلدم والقيء إذا كثر خروجه منه. يقول الرجل: هو عندي كذا فيقال له: أولك ع
classical_lexicon,asas_albalagha_c0246,classical,العرب,2079,1,ئر وعيّار. وقصيدة عائرة: سائرة وما قالت العرب بيتاً أعير منه. وهمّة عائرة.
classical_lexicon,asas_albalagha_c0246,classical,حجل الباهلي,3389,1,المسيب. وعيّل الرجل فرسه بالفلاة. وقال حجل الباهلي: نسقي قلائصنا بماء آجن وإذا ي
classical_lexicon,asas_albalagha_c0247,classical,المخبّل السعديّ,3703,2,الوا: عزّ أغبر: يريدون قد ذهب ودرس. قال المخبّل السعديّ: فأنزلهم دار الضّياع فأصبحوا
classical_lexicon,asas_albalagha_c0255,classical,النّعوس,1824,1,قال لبيد: سريت بهم حتى تغوّر نجمهم وقال النّعوس نوّر الصبح فاذهب وتقول: فلان
classical_lexicon,asas_albalagha_c0257,classical,الحارثي,4140,1,بالنار وكلّ شيء أدخل النار فقد فتن. قال الحارثي: تثعلبت لي أن خلتني بك واقعاً
classical_lexicon,asas_albalagha_c0258,classical,الطّرمّاح,825,2,لوا ففاتونا. وتفاتوا إليه: تحاكموا. قال الطّرمّاح: هلمّ إلى قضاة الغوث فاسأل بر
classical_lexicon,asas_albalagha_c0262,classical,العمانيّ,1520,1,سنة مصغيات كما يتفارط الثمد الحمام وقال العمانيّ: وابن السّقاة إذا الحجيج تفاط
classical_lexicon,asas_albalagha_c0267,classical,النّابغة,832,1,له مفاقره وسدّ مفاقره أي وجوه فقره. قال النّابغة: فأهلي فداء لامرئ إن أتيته تق
classical_lexicon,asas_albalagha_c0267,classical,عطاء السّندي,2707,1,قيه: عالم بذوات الضّبع وذوات الحمل. قال عطاء السّندي: أرسلت فيها مقرماً ذا تشمام ط
classical_lexicon,asas_albalagha_c0269,classical,مزاحم العقيليّ,799,1,مات ضرع الناقة إذا اسودّت للإقراب. وقال مزاحم العقيليّ: تكشّف عن ضاوي الغراز كأنه فل
classical_lexicon,asas_albalagha_c0269,classical,الزبرقان,2592,2,ال: فيه فنع وهو الكرم وكثرة العطاء. قال الزبرقان: أظل بيتي أم حسناء ناعمة عيّر
classical_lexicon,asas_albalagha_c0272,classical,مرادس الدبيريّ,2535,1,ت بالقبر كما يقال: رءوس كقبور عادٍ. قال مرادس الدبيريّ: لقد أتاني رافعاً قبرّاه لا ي
classical_lexicon,asas_albalagha_c0276,classical,الذبيانيّ,366,1,ح وفي أسفل البرمة قديح: بقية مرقةٍ. قال الذبيانيّ: فظلّ الإماء يبتدرن قديحها كم
classical_lexicon,asas_albalagha_c0276,classical,الحق,1253,1,"قدحك في القداح وصدقهم وسم قدحه إذا قال الحق. "" وهو أطيش من القدوح الأقرح"
classical_lexicon,asas_albalagha_c0278,classical,الجعديَ,1922,1,ه وأقذافَه: أعاليه ونواحيه البعيدة. قال الجعديَ: طليعة قوم أو خميس عرمرم كسيل
classical_lexicon,asas_albalagha_c0280,classical,المازنيّ,3104,1,""" ولجام قرّاص وقروص: يؤذي الدابة. وأنشد المازنيّ: ولولا هذيل أن أسوء سراتها لأ"
classical_lexicon,asas_albalagha_c0282,classical,المرقّش,2342,1,ذات القرون وهم الروم لطول ذوائبهم. قال المرقّش: لات هنًّا وليتني طرف الزجّ و
classical_lexicon,asas_albalagha_c0282,classical,الأعور النبهانيّ,2797,1,ؤصل. وأعطاني قرناً: بعيرين مقرونين. قال الأعور النبهانيّ يهجو جريراً: فلو عند غسّان ال
classical_lexicon,asas_albalagha_c0284,classical,مسكين الدارميّ,3621,2,كانت خلقةً قيل: القصيبة والقصائب. وقال مسكين الدارميّ يصف فراخ القطاة: إذا خرّقت قص
classical_lexicon,asas_albalagha_c0287,classical,طيّب الرّيقة,1144,1,ب كثير القطاب وهو مزاجه. وراح قطيب. قال طيّب الرّيقة والنك - هة كالراح القطيب وقطب
classical_lexicon,asas_albalagha_c0289,classical,الدّيا الحارثيّ,360,1,ف شفرته حتى قعدت كأنها حربة: صارت. وقال الدّيا الحارثيّ: لأصبحن ظالماً حرباً رباعيةً
classical_lexicon,asas_albalagha_c0292,classical,الفتاتان,3668,1,عة: وقمير بدا ابن خمس وعشري - ن له قالت الفتاتان قوما وحمار أقمر: أبيض. ومن ال
classical_lexicon,asas_albalagha_c0293,classical,الأسود,2830,1,ه. قنأ: أحمر قاني وقنأ لونه قنوأً. قال الأسود: يسعى بها ذو تومتين منطّق قنأ
classical_lexicon,asas_albalagha_c0296,classical,الحائط,897,1,ال بيده: أهوى بها وقال برأسه: أشار وقال الحائط فسقط: مال وهذا قول فلان: رأيه
classical_lexicon,asas_albalagha_c0296,classical,الأنساع,1053,2,لك الطير تقدّم راشدا وقال آخر: إذ قالت الأنساع للبطن الحق قوم: رأيت أقواماً
classical_lexicon,asas_albalagha_c0300,classical,الراجز,1023,2,يأتي بعلّة الخطبة وإنما يريد القرى. قال الراجز: برّح بالعينين خطّاب الكثب يق
classical_lexicon,asas_albalagha_c0300,classical,يخاطب الذئب,2344,1,ها في فيه ثمّ كسرها. ورماه من كثمٍ. قال يخاطب الذئب: أقسمت بالله وثنّيت القسم لئن
classical_lexicon,asas_albalagha_c0300,classical,مسكين الدارميّ,3338,2,لتهم السنة وسنة كاحلة وكحلاء وكحلٌ. قال مسكين الدارميّ: لسنا كأقوام إذا كحلت إحدى ال
classical_lexicon,asas_albalagha_c0300,classical,المرّار الفقعسيّ,3433,1,تمر أي يؤكل جارهم كما يؤكل التمر. وقال المرّار الفقعسيّ: إن قبرين بالقنان لقبرا - ن ه
classical_lexicon,asas_albalagha_c0302,classical,اللهبيّ,2313,1,وعليه كرش من الناس وأكراش: جماعات. قال اللهبيّ: وأفأنا النّهاب من كل حي وأقم
classical_lexicon,asas_albalagha_c0303,classical,الطّرمّاح,1209,2,تكرهٍ وتكاره ومتكرّهاً ومتكارهاً. وقال الطّرمّاح: تكاره أعداء العشيرة رؤيتي وب
classical_lexicon,asas_albalagha_c0304,classical,الخطيئة,2301,1,الرجل فهو كاسٍ نحو: حليَ فهو حالٍ. قال الخطيئة: واقعد فإنك أنت الطاعم الكاسي
classical_lexicon,asas_albalagha_c0304,classical,القرّاء,2345,1,يئة: واقعد فإنك أنت الطاعم الكاسي وأنشد القرّاء: ومن المجاز: اكتست الأرض بالن
classical_lexicon,asas_albalagha_c0306,classical,العبّاس,3348,1,ي ذو الشجر. واكتفل السابق بالمصلّى. قال العبّاس: بعيد سموّ الطرف نهدٌ مناهب إ
classical_lexicon,asas_albalagha_c0316,classical,الزبرقان,3717,2,اكفف عنا لغبك أي فاسد كلامك وقبيحه. قال الزبرقان: ألم أك باذلاً ودّي ونصري وأص
classical_lexicon,asas_albalagha_c0320,classical,النّظّار الأسديّ,116,1,به لمم ولمّة من الجنّ. ورجل ملموم. وقال النّظّار الأسديّ: ومن المجاز: لم شعثه: أصلح حا
classical_lexicon,asas_albalagha_c0320,classical,الأدلاء,2419,1,ميم في الخرق البعيد نياطه وراء الذي قال الأدلاء تصبح وقوم لهاميم: أسخياء. وجي
classical_lexicon,asas_albalagha_c0321,classical,المرّار الفقعسي,676,1,: ابن الملاوث. ولاث الضّباب بالجبل. قال المرّار الفقعسي: تضمن ماءها متمرّدات من اللائ
classical_lexicon,asas_albalagha_c0321,classical,الطرّماح,1672,1,خصة. لاذ به لياذاً ولاوذ به لواذاً. قال الطرّماح: يلاوذن من حرّ يكاد أواراه يذ
classical_lexicon,asas_albalagha_c0322,classical,لزيد الخيل,2173,1,"أو همّ بخطيئة ليس يحيى بن زكريا "" وقال لزيد الخيل. "" ما وصف لي أحد في الجاهلية"
classical_lexicon,asas_albalagha_c0322,classical,يصف الثور,2440,1,الذي لا يبالي هولاً ولا يردعه شيء. وقال يصف الثور: أليس عن حوبائه سخيّ ليط: ذب
classical_lexicon,asas_albalagha_c0325,classical,يخاطب البئر,2835,1,مخض الماء بالدلو إذا أكثر الاستقاء. قال يخاطب البئر: لنمخضن جوفك بالدّلى حتى تعود
classical_lexicon,asas_albalagha_c0327,classical,الحليج,2252,1,ة الدمع. ولا تمرح بعرضك: لا تعرّضه. قال الحليج من بني ثعلبة: أشماخ لا تمرح ب
classical_lexicon,asas_albalagha_c0332,classical,المروح السلميّ,2187,1,ضمضت عيني بالنّوم أرقاً وما تمضمضت. قال المروح السلميّ: لما اتكأن على النّمارق مضمضت
classical_lexicon,asas_albalagha_c0335,classical,المتلمّس,2446,2,وجلد فلان أملس إذا لم يتعلق به ذمّ. قال المتلمّس: فلا تقبلن ضيماً مخافة ميتة و
classical_lexicon,asas_albalagha_c0335,classical,الشاعر,3131,1,ملطت المرأة: أملصت. ومن المجاز: أن يقول الشاعر مصراعاً ويقول لآخر: أملط أي أ
classical_lexicon,asas_albalagha_c0335,classical,المسيّب,3480,2,لاع أو خفقة ملاع بمعنى مالعة سريعة. قال المسيّب: أنت الوفيّ فما تذمّ وبعضهم ت
classical_lexicon,asas_albalagha_c0336,classical,السهميّ,3748,1,ماته ويقال لهم: منعات معاقل ومحارز. قال السهميّ: ولم تلتق العصماء في منعاتها
classical_lexicon,asas_albalagha_c0338,classical,العجير السلوليّ,2419,1,إنها لموجى الحبال إذا جالت أنساعها. قال العجير السلوليّ: ولما تصدّى للرّواح انبرت له
classical_lexicon,asas_albalagha_c0340,classical,المرّار,416,1,يف. ونأمت إليه نأمةً وناءمت مناءمة. قال المرّار: وأن ألج البيت مدجى الغطاء أن
